name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Brussels,2026-02-12,10.3,7.2,8.6,10.3,4.5,6.4,7.1,90.4,14.5,100,87.5,rain,0,0,43.6,24.3,263,980.6,91.9,14.3,64.6,5.6,3,10,2026-02-12T08:00:41,2026-02-12T17:53:49,0.84,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EBBE,EBAW,EBCI,D0152,EBBR"
Brussels,2026-02-13,6.9,2.2,5.4,5.9,-1.6,3.4,3.7,89.2,1.9,64.5,37.5,rain,0,0,36.4,14.4,22.4,992.6,98.5,21.7,9.3,0.8,1,10,2026-02-13T07:58:52,2026-02-13T17:55:36,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,
Brussels,2026-02-14,3,-0.6,0.9,0.6,-4.7,-2.2,-3.5,73.1,0.1,38.7,4.17,"rain,snow",0,0,42.5,16.9,17.1,1009.9,59,24,103.3,9,4,10,2026-02-14T07:57:01,2026-02-14T17:57:23,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Brussels,2026-02-15,1.8,-1.2,0.3,-0.9,-4.4,-2.6,-4.5,70.9,0.1,61.3,4.17,"rain,snow",0,0,41.4,16.6,182,1012.1,84.1,24.1,80,6.9,4,10,2026-02-15T07:55:10,2026-02-15T17:59:10,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,rain,
Brussels,2026-02-16,7,1.6,4.8,4.1,-2.5,1.5,3.1,89.2,6.8,93.5,33.33,rain,0,0,47.5,24.8,238.7,998.8,90.2,18,42.2,3.7,2,10,2026-02-16T07:53:17,2026-02-16T18:00:56,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Brussels,2026-02-17,7.9,4.2,5.9,4.9,-0.2,2.3,3.2,82.8,4.6,90.3,20.83,rain,0,0,50.8,23,227.4,1007.8,93.1,20.8,55,4.5,2,10,2026-02-17T07:51:22,2026-02-17T18:02:43,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,
Brussels,2026-02-18,9.3,1.5,5.7,5.9,-3,1.7,4,89.3,32,35.5,25,"rain,snow",0.5,0.2,52.6,28.1,246.7,1001,85.2,12.8,5.9,0.3,0,10,2026-02-18T07:49:26,2026-02-18T18:04:29,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Brussels,2026-02-19,6,1.1,3.5,1.7,-2.3,0,0.3,79.9,3.8,51.6,8.33,rain,0,0.2,63.7,30.2,181.6,1020.5,95.1,22.5,75.6,6.3,3,10,2026-02-19T07:47:30,2026-02-19T18:06:15,0.07,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
Brussels,2026-02-20,11.2,6.8,8.7,11.2,2.7,6.2,7.2,90.4,9.3,48.4,33.33,rain,0,0,64.8,41,209,1004.4,99.4,20.6,9.6,0.6,1,10,2026-02-20T07:45:32,2026-02-20T18:08:01,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Brussels,2026-02-21,8.8,4,6.5,5.8,1.1,2.9,3.1,79.6,4.7,54.8,16.67,rain,0,0,63.4,36.2,242.9,1003.6,77.6,21.8,99.4,8.7,4,10,2026-02-21T07:43:33,2026-02-21T18:09:47,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Brussels,2026-02-22,8.7,2.5,5.1,5.7,0.7,2.4,2.7,85.3,2.3,48.4,20.83,rain,0,0,40,19.8,299.7,1013.3,71,22.9,55.4,4.5,3,10,2026-02-22T07:41:33,2026-02-22T18:11:32,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Brussels,2026-02-23,6.2,2.2,4.4,3.4,-0.9,1.5,-0.5,70.9,0.5,32.3,16.67,rain,0,0,33.7,16.7,333.6,1026.8,69.8,24.1,67.9,5.7,3,10,2026-02-23T07:39:32,2026-02-23T18:13:17,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Brussels,2026-02-24,7.3,0.4,3.3,5.3,-2.2,0.9,-2.8,66,0,29,0,,0,0,32.2,12.7,112.3,1032.4,38,24.1,118.8,10.5,4,10,2026-02-24T07:37:30,2026-02-24T18:15:02,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Brussels,2026-02-25,6.8,0.9,4,3.1,-3.1,0,-4.1,55.9,0.1,29,4.17,rain,0,0,62.3,26.6,193.1,1029.1,99.2,24.1,56.3,4.8,3,10,2026-02-25T07:35:27,2026-02-25T18:16:47,0.28,Overcast,Cloudy skies throughout the day.,cloudy,
Brussels,2026-02-26,12.7,5.8,8.5,12.7,1.4,6,4,74.2,0.8,19.4,12.5,rain,0,0,65.5,29.5,244.4,1023.5,56.4,24.1,64.9,5.4,3,10,2026-02-26T07:33:23,2026-02-26T18:18:31,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
