name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Canberra,2026-02-12,27,12.1,20.7,26.5,12.1,20.7,14.2,69.4,0.1,100,4.17,rain,0,0,45.4,31.7,17.6,1006.7,64.7,11.2,237.3,20.5,10,10,2026-02-12T06:33:24,2026-02-12T20:01:36,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"YSCB,F4257,remote"
Canberra,2026-02-13,24.1,8.9,15.4,24.1,7,15.1,6.3,57.7,0,0,0,,0,0,34.9,24.8,88.6,1015.3,5.1,24.1,344.8,29.6,10,10,2026-02-13T06:34:24,2026-02-13T20:00:34,0.86,Clear,Clear conditions throughout the day.,clear-day,
Canberra,2026-02-14,24.9,10.1,16.8,24.9,10.1,16.8,8.3,60.8,0,0,0,,0,0,34.6,22.7,90.5,1019.2,34.2,24.1,337.8,29.2,10,10,2026-02-14T06:35:24,2026-02-14T19:59:30,0.89,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Canberra,2026-02-15,26.1,10.3,17.3,26.1,10.3,17.3,9.4,64.6,0,3.2,0,,0,0,36.7,20.9,96.4,1018.3,27.3,24.1,289.2,25.1,10,10,2026-02-15T06:36:24,2026-02-15T19:58:25,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Canberra,2026-02-16,28.4,10.5,19,27.1,10.5,18.7,9.5,61.1,0,6.5,0,,0,0,35.6,19.4,82.3,1015.5,10.8,24.1,333.2,28.9,10,10,2026-02-16T06:37:24,2026-02-16T19:57:19,0.95,Clear,Clear conditions throughout the day.,clear-day,
Canberra,2026-02-17,30.1,12.9,21.3,28.5,12.9,21,10.3,56.8,0,0,0,,0,0,19.8,19.8,321.2,1011.3,28.7,24.1,342.6,29.6,10,10,2026-02-17T06:38:23,2026-02-17T19:56:12,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Canberra,2026-02-18,33.3,16.8,24.9,31.2,16.8,24.2,8.7,38.8,0,25.8,0,,0,0,39.2,23.8,286.9,1007.6,27.4,24.1,316.5,27.6,10,10,2026-02-18T06:39:22,2026-02-18T19:55:04,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Canberra,2026-02-19,34.3,17.8,26.3,32.2,17.8,25.6,10.3,40.7,0,6.5,0,,0,0,28.8,26.6,288.9,1011.1,45.8,24.1,284.9,24.6,9,10,2026-02-19T06:40:20,2026-02-19T19:53:54,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Canberra,2026-02-20,31.9,17.2,23.5,30.1,17.2,23,12.4,54.6,0,25.8,0,rain,0,0,42.1,23.8,177.9,1012.3,84.9,21.6,163.8,14.1,6,10,2026-02-20T06:41:18,2026-02-20T19:52:44,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Canberra,2026-02-21,30,16,20.4,28.5,16,20.2,12.4,64,0.1,29,4.17,rain,0,0,41,24.1,106,1012.7,58.8,24.1,246.6,21.3,9,10,2026-02-21T06:42:16,2026-02-21T19:51:33,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Canberra,2026-02-22,30.8,14.4,21.9,29.3,14.4,21.5,11.2,59,0.2,25.8,4.17,rain,0,0,28.8,20.9,300.3,1008.4,45.4,24.1,261.3,22.5,9,10,2026-02-22T06:43:14,2026-02-22T19:50:21,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Canberra,2026-02-23,30.9,14.5,22.5,29.2,14.5,22,11.7,57.9,0.2,32.3,4.17,rain,0,0,31,23.4,297.8,1007.3,30.9,24.1,280.1,24,9,10,2026-02-23T06:44:11,2026-02-23T19:49:08,0.2,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Canberra,2026-02-24,20.2,11.6,17.1,20.2,11.6,17.1,12.9,77.2,1.3,25.8,12.5,rain,0,0,32.4,19.8,97.2,1014,48.4,24.1,155.9,13.5,7,10,2026-02-24T06:45:07,2026-02-24T19:47:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Canberra,2026-02-25,31.3,9.8,20,29.3,9.3,19.5,8.4,55.6,0,12.9,0,,0,0,23.8,17.3,263.4,1016.3,1.3,24.1,289.9,24.9,9,10,2026-02-25T06:46:04,2026-02-25T19:46:40,0.27,Clear,Clear conditions throughout the day.,clear-day,
Canberra,2026-02-26,32.7,15.6,23.5,30.3,15.6,22.8,4.6,38.8,0,6.5,0,,0,0,24.8,20.2,266.2,1013.6,67.1,24.1,252.5,21.9,9,10,2026-02-26T06:47:00,2026-02-26T19:45:24,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
