name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2026-02-12,2.3,-1.6,0.5,-3.3,-7.9,-5.5,-8,53.1,0,1,0,,0,2.1,57.3,31.4,313.3,1014.9,56.8,16.1,119.7,10.4,4,10,2026-02-12T06:53:23,2026-02-12T17:27:08,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KJFK,KLGA,F8726,KNYC"
New York,2026-02-13,2.8,-5,-1.3,-1.5,-11.3,-6.5,-9.1,55.8,0,33,0,,0,1.3,33.5,22.3,305.8,1020.5,24.4,16.3,166.3,14.5,6,10,2026-02-13T06:52:07,2026-02-13T17:28:21,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2026-02-14,5,-1.1,1.6,1,-6.1,-2.7,-4,66.7,0,33,0,,0,0.5,33.5,22.3,275.5,1019.2,39.9,16.3,167.5,14.7,4,10,2026-02-14T06:50:51,2026-02-14T17:29:34,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2026-02-15,3.4,-0.9,1.5,0.4,-3.6,-1.5,-4.2,66.4,0,32,0,,0,0.1,19.1,11.9,62.3,1018.6,69.6,21.5,136.9,11.9,4,10,2026-02-15T06:49:33,2026-02-15T17:30:46,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2026-02-16,4.4,1,2.6,1.2,-2.5,-0.6,-1.8,72.8,2.8,39,16.67,"rain,snow",1.5,0,22.3,15.1,28.6,1021.3,48,24.1,152.8,13.2,5,10,2026-02-16T06:48:13,2026-02-16T17:31:58,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2026-02-17,6.1,1.4,3.7,3.6,-1.3,1.1,-0.8,72.5,0,17,0,,0,0,19.4,12.2,235.3,1025,58.8,24.1,173.6,14.9,5,10,2026-02-17T06:46:53,2026-02-17T17:33:10,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2026-02-18,7,3.2,5,4.1,0.8,2.2,1.6,79,0,44,0,,0,0,26.3,15.5,191.2,1012.1,91.9,20.5,41.9,3.7,1,10,2026-02-18T06:45:32,2026-02-18T17:34:22,0.04,Overcast,Cloudy skies throughout the day.,cloudy,
New York,2026-02-19,6.2,2.1,4.8,2.8,-1.8,1.3,-0.5,68.5,6.7,44,12.5,rain,0,0,36.4,19.8,285.8,1019.8,69.2,24.1,169.6,14.7,4,10,2026-02-19T06:44:09,2026-02-19T17:35:34,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2026-02-20,10.9,2.3,6.2,10.9,-1.9,3.9,4,86.3,2.7,29,4.17,rain,0,0,53.3,19.8,210.8,1005.7,98.8,13.8,41.8,3.5,2,10,2026-02-20T06:42:45,2026-02-20T17:36:45,0.11,Overcast,Cloudy skies throughout the day.,cloudy,
New York,2026-02-21,5.4,1.6,3.1,3.5,-1.9,0.2,0.5,83.9,5.3,22.6,8.33,rain,0,0,37.1,14.4,30.2,1006,98.9,17.9,11.6,0.9,0,10,2026-02-21T06:41:21,2026-02-21T17:37:56,0.15,Overcast,Cloudy skies throughout the day.,cloudy,
New York,2026-02-22,4.1,-0.5,1.6,-1,-6.7,-3.9,-5.5,60.3,1.8,45.2,8.33,"rain,snow",0.4,0.1,55.4,30.6,305.7,1012.9,61.7,23,168.1,14.4,6,10,2026-02-22T06:39:55,2026-02-22T17:39:06,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,snow,
New York,2026-02-23,6.7,-1.2,2.6,3.9,-7,-1.7,-8.4,45.2,0,25.8,0,,0,0,56.2,25.6,284,1026.1,47.3,24.1,147.4,12.8,5,10,2026-02-23T06:38:28,2026-02-23T17:40:16,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
New York,2026-02-24,7.8,3.7,5.6,6.1,0.9,2.8,-2.6,56.4,0,19.4,0,,0,0,52.6,17.3,294.3,1026.9,93.8,24.1,103.1,9,4,10,2026-02-24T06:37:01,2026-02-24T17:41:26,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
New York,2026-02-25,13.9,3.3,7.8,13.9,0.2,5.9,4.6,81.2,1.2,19.4,4.17,rain,1.1,0,64.1,26.3,193,1019.8,97.2,17.7,45.3,3.8,3,10,2026-02-25T06:35:33,2026-02-25T17:42:36,0.29,Overcast,Cloudy skies throughout the day.,cloudy,
New York,2026-02-26,18.4,7.9,14,18.4,4.8,13.7,9.2,73.4,0,12.9,0,,0,0,64.1,25.2,218.8,1010.5,99.9,23.8,112.3,9.6,4,10,2026-02-26T06:34:03,2026-02-26T17:43:45,0.33,Overcast,Cloudy skies throughout the day.,cloudy,
